word,quantity
my,2
your,2
this,2
what,2
maybe,2
are,2
name,2
can,2
0,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
30,1
31,1
32,1
40,1
41,1
42,1
50,1
51,1
52,1
60,1
61,1
62,1
70,1
71,1
72,1
80,1
81,1
82,1
90,1
91,1
92,1
100,1
101,1
102,1
110,1
111,1
1000,1
1001,1
10000,1
100000,1
long,1
tall,1
tall,1
big/large,1
small/little,1
new,1
young,1
sick,1
healthy,1
loud,1
quiet,1
deaf,1
blind,1
mean,1
thick,1
thin,1
flat,1
curved,1
male,1
female,1
tight,1
loose,1
dead,1
alive,1
heavy,1
dark,1
nuclear,1
famous,1
wing,1
animalc,1
band,1
song,1
instrument,1
musical,1
music,1
movie,1
art,1
beverages,1
beverage,1
beard,1
mouth,1
lip,1
tear,1
drop,1
sweat,1
disease,1
voice,1
hat,1
dress,1
suit,1
skirt,1
shirt,1
t-shirt,1
pants,1
shoes,1
pocket,1
coat,1
stain,1
red,1
green,1
blue,1
light/dark,1
yellow,1
brown,1
pink,1
black,1
white,1
gray,1
days,1
of,1
sunday,1
monday,1
tuesday,1
wednesday,1
thursday,1
friday,1
saturday,1
lamp,1
cell,1
phone,1
network,1
computer,1
program,1
computer,1
laptop,1
screen,1
camera,1
television,1
radio,1
foods,1
pork,1
beef,1
seed,1
knife,1
spoon,1
fork,1
plate,1
cup,1
breakfast,1
lunch,1
dinner,1
bottle,1
table,1
chair,1
bed,1
dream,1
bedroom,1
kitchen,1
pencil,1
pen,1
photograph,1
soap,1
book,1
page,1
key,1
paint,1
letter,1
note,1
wall,1
paper,1
floor,1
ceiling,1
roof,1
pool,1
lock,1
telephone,1
yard,1
needle,1
bag,1
box,1
gift,1
card,1
ring,1
tool,1
jobs,1
lawyer,1
patient,1
waiter,1
secretary,1
priest,1
army,1
artist,1
author,1
manager,1
reporter,1
actor,1
job,1
locations,1
street/road,1
farm,1
court,1
town,1
university,1
club,1
bar,1
camp,1
store/shop,1
theater,1
library,1
united,1
states,1
france,1
etc,1
building,1
ground,1
space,1
outer,1
space,1
location,1
materials,1
glass,1
metal,1
plastic,1
wood,1
stone,1
diamond,1
clay,1
dust,1
gold,1
copper,1
silver,1
material,1
math/measurements,1
meter,1
centimeter,1
kilogram,1
inch,1
pound,1
circle,1
square,1
temperature,1
date,1
weight,1
edge,1
corner,1
miscellaneous,1
nouns,1
map,1
dot,1
consonant,1
vowel,1
sound,1
piece,1
pain,1
injury,1
hole,1
image,1
pattern,1
noun,1
verb,1
adjective,1
months,1
january,1
february,1
march,1
april,1
may,1
june,1
july,1
august,1
september,1
october,1
november,1
december,1
sea,1
ocean,1
world,1
earth,1
plant,1
soil/earth,1
root,1
air,1
wave,1
island,1
heat,1
billion,1
1st,1
2nd,1
3rd,1
4th,1
5th,1
number,1
son,1
daughter,1
mother/father,1
brother,1
sister,1
grandfather,1
grandmother,1
husband,1
wife,1
king,1
queen,1
president,1
boy/girl,1
adult,1
man/woman,1
human,1
≠,1
animal,1
add,1
friend’s,1
name,1
victim,1
player,1
crowd,1
singular,1
plural,1
as,1
in,1
“y’all”,1
seasons,1
society,1
religion,1
heaven,1
hell,1
death,1
medicine,1
money,1
dollar,1
bill,1
marriage,1
wedding,1
team,1
ethnicity,1
the,1
act,1
gender,1
murder,1
prison,1
technology,1
energy,1
war,1
peace,1
attack,1
election,1
magazine,1
newspaper,1
poison,1
gun,1
sport,1
sport,1
exercise,1
ball,1
game,1
price,1
contract,1
drug,1
science,1
god,1
plane,1
truck,1
tire,1
gasoline,1
engine,1
train,1
ticket,1
transportation,1
drive,1
fly,1
swim,1
go,1
follow,1
speak/say,1
kill,1
die,1
smile,1
laugh,1
cry,1
buy,1
pay,1
sell,1
shoot,1
gun,1
smell,1
hear,1
sound,1
listen,1
music,1
taste,1
touch,1
bird,1
tv,1
kiss,1
burn,1
melt,1
dig,1
explode,1
pass,1
by,1
cut,1
fight,1
lie,1
down,1
dance,1
sing,1
count,1
marry,1
pray,1
mix/stir,1
bend,1
wash,1
cook,1
turn,1
build,1
teach,1
grow,1
draw,1
feed,1
break,1
wear,1
hang,1
shake,1
beat,1
lift,1
relationships,1
son,1
daughter,1
brother,1
sister,1
husband,1
wife,1
couple,1
nurse,1
worker,1
boss,1
stranger,1
guest,1
parts,1
mouth,1
lip,1
elbow,1
chest,1
stomach,1
lung,1
muscle,1
animals,1
sheep,1
goat,1
duck,1
turkey,1
elephant,1
lion,1
tiger,1
bear,1
monkey,1
rabbit,1
snake,1
frog,1
rat,1
wolf,1
fox,1
deer,1
zebra,1
giraffe,1
kangaroo,1
dolphin,1
whale,1
shark,1
bee,1
ant,1
butterfly,1
mosquito,1
weather,1
cloud,1
storm,1
lightning,1
thunder,1
ocean,1
rock,1
soil,1
fog,1
autumn,1
shadow,1
measurement,1
today,1
tomorrow,1
yesterday,1
now,1
soon,1
always,1
never,1
sometimes,1
often,1
century,1
calendar,1
age,1
past,1
present,1
future,1
places,1
store,1
mosque,1
temple,1
airplane,1
taxi,1
motorcycle,1
road,1
street,1
village,1
drinks,1
meat,1
butter,1
pepper,1
fruit,1
vegetable,1
grape,1
strawberry,1
carrot,1
potato,1
tomato,1
onion,1
garlic,1
beans,1
salad,1
chocolate,1
honey,1
cream,1
basic,1
actions,1
come,1
leave,1
stay,1
give,1
hold,1
buy,1
sell,1
pay,1
send,1
receive,1
study,1
read,1
listen,1
hear,1
speak,1
say,1
talk,1
ask,1
answer,1
remember,1
forget,1
want,1
like,1
hate,1
try,1
start,1
believe,1
descriptive,1
adjectives,1
big,1
small,1
bright,1
age,1
easy,1
difficult,1
full,1
empty,1
near,1
far,1
correct,1
wrong,1
same,1
different,1
closed,1
left,1
direction,1
quantities,1
one,1
two,1
three,1
four,1
five,1
six,1
seven,1
eight,1
nine,1
ten,1
eleven,1
twelve,1
twenty,1
thirty,1
forty,1
fifty,1
hundred,1
thousand,1
all,1
some,1
none,1
many,1
few,1
more,1
less,1
whole,1
part,1
double,1
triple,1
once,1
twice,1
third,1
enough,1
too,1
little,1
lot,1
function,1
words,1
him,1
us,1
them,1
his,1
our,1
their,1
that,1
these,1
those,1
who,1
when,1
why,1
which,1
because,1
if,1
but,1
and,1
or,1
nor,1
not,1
here,1
there,1
somewhere,1
nowhere,1
everywhere,1
with,1
without,1
before,1
after,1
inside,1
outside,1
above,1
below,1
between,1
under,1
common,1
phrases,1
hello,1
goodbye,1
thank,1
please,1
sorry,1
excuse,1
fine,1
what’s,1
is…,1
from,1
from…,1
don’t,1
tired,1
lost,1
miss,1
be,1
careful,1
have,1
care,1
photo,1
it’s,1
an,1
emergency,1
let’s,1
moment,1
