word,Translate
i̇çeri,inside
satıcı,sales person
plağı,record
önce,before
nağme,tune
hüzünlü,sad
melodi…,melody…
çıkıp,come out
orada,there
mis,mis
kokan,smelling
menekşe,violet
gökyüzü,sky
“ve,"""And"
biz,We
göz,eyelash
zaman”,"time"""
gelir,income
son,last
ilerledikçe,as we progress
dalga,wave
uyandıklarında,when they wake up
dört,four
aralık,December
yanındaki,next to
tezat,contrast
gökyüzüne,to the sky
içinde,inside
duygusu,sense of
sordu,he asked
heykel,statue
yer,place
yazıyordu,it was writing
hatırlatıyordu,was reminding
kelimelerden,from words
kalemi,pen
ekledi,added
gölgeler,shadows
seramik,ceramic
hikâye,story
nemli,damp
cılız,rickety
suskun,silent
sonunda,finally
taşın,stone
iç,drink
ise,whereas
herkesin,everyone
kolaj,collage
tekne,boat
açık,open 
mavi,blue
gökyüzünün,of the sky
dalgaların,of the waves
kıyıya,ashore
vurduğu,hit
yaz,Summer
sabahında,in the morning
elinde,in hand
kitapla,with the book
çimlerin,your grass
oturuyordu,was sitting
yapılı,built
adama,to the man
eşlik,accompaniment
uzaklardan,from far away
martı,seagull
çığlığıydı,it was a scream
güneşin,of the sun
cildini,your skin
ılık,warm
okşuyor,caressing
yel,wind
yüzüne,to your face
unutulmaz,memorable
ilkbahar,Spring
öğleden,afternoon
sonrasının,after
sessizliğiydi,it was silence
adımı,step
duyan,hearing
etekleri,skirts
kot,jeans
pantolonuyla,with his pants
yürüyerek,on foot
yanına,next
sayılmazdı,it didn't count
yüzünde,on your face
gölgede,in the shade
kalan,remainder
merak,curiosity
ışıltı,sparkle
merdiven,stairs
yeşil,green
ağaçların,of trees
merhaba,Hello
dercesine,as if to say
bakıştı,exchanged glances
kalpleri,hearts
çarpmıştı,crashed
sıcaklığın,your temperature
soğukla,with cold
ettiği,did
ölümün,of death
kıyısında,on the shore
soluk,pale
soluğa,panting
çırpındığı,struggling
şiirsel,poetic
andı,oath
ah,Ah
yüzleri,faces
masmavi,azure
gölün,of the lake
durgun,stagnant
sularında,around
yankılanan,resonant
karıştı,confused
konuştu,spoke
ben,I
seni,You
gördüğümde,when i see
durdu,stopped
oldun,you became
düşündüm,I think
öyle,like that
söylüyorsun,you say
suskunluğu,his silence
bozdu,broke
gözlerin,your eyes
lamba,lamp
karanlığı,the darkness
aydınlatıyor,it illuminates
cümleler,sentences
yetmezdi,it wasn't enough
ikisinin,of both
oluşan,consisting of
derinliğe,to the depth
bakarken,while looking
odada,in the room
dalgalı,wavy
nehirde,in the river
yüzüyor,swimming
soğuktu,it was cold
taşlar,stones
kaygandı,it was slippery
titreşiyordu,was vibrating
akışta,in the flow
inceden,delicately
benim,Mine
şarkımsın,you are my song
şarkı,song
sözlerini,your words
bilmesem,if I don't know
melodisi,melody
ruhuma,to my soul
kazındı,engraved
attı,threw
müzikten,from music
anlamıyorum,I don't understand
senin,your
sesin,your voice
film,film
müziği,music
geliyor,is coming
dram,drama
komediyle,with comedy
süzüldü,floated
yanağından,from your cheek
parmak,finger
uçlarında,at the ends
titrerken,while shaking
öptü,kissed
öpücük,kiss
hafifti,it was light
yumuşaktı,it was soft
dünyada,in the world
kırıntısıydı,it was a crumb
girmek,to enter
isteyen,wanting
vardır,there is
karşılaştınız,you met
sevdiniz,you loved
unutacaksınız,you will forget
kelimelere,to words
duymadan,without hearing
bağlandılar,they connected
evet,Yes
diyen,who says
beraber,together
sayıyordu,was counting
üç…,fly…
kırk,forty
artık,Now
ölçülemezdi,immeasurable
sözleri,lyrics
beni,Me
bırakma,release
hayatımda,in my life
şimdikinden,than now
geçmişe,to the past
geçmişten,from the past
çekimler,shots
karede,in the frame
birleşti,merged
onlara,them
gülümseyen,smiling
döken,shed
komşu,neighbour
öpüşme,kissing
omuzdaki,on the shoulder
bacağın,your leg
titremesini,to shake
kalbin,your heart
ritimde,in rhythm
atmasını,to throw
sağladı,provided
saniye,second
yıl,year
uzundu,it was long
ayağa,stand up
kalktılar,they got up
dersleri,lessons
verdiler,they gave
cesaret,bravery
ister,whether...or
gerektirir,requires
yarayı,the wound
iyileştirir,heals
gençler,youth
sıkı,tight
sıkıya,strictly
tutunmuş,clinging on
kanatlı,winged
kalptir,is the heart
böylece,like this
başladılar,they started
bitmeyen,unending
diyaloğa,to dialogue
tutuşmak,ignite
omuz,shoulder
omuza,to the shoulder
kavga,fight
etmek,to do
gülmek,to laugh
susmak,shut up
ağlamak,to cry
yüzlerindeki,on their faces
leke,stain
benliğindeki,in your self
kusurları,flaws
silercesine,as if to erase
parlıyordu,was shining
temiz,clean
kirli,dirty
kalpleriyle,with their hearts
hayata,to life
meydan,square 
okuyor,reading
olduğunu,is
öğreniyorlardı,they were learning
romanın,your novel
cümlesi,sentence
atılmıştı,was thrown away
nehrin,of the river
güçlü,strong
heyecanlı,excited
aşk,love
hikâyesi,the story
hizli,fast
sürüklediği,dragged by
toz,dust
gelip,come and
geçse,if it passes
yüreklerindeki,in their hearts
iz,trace
silinmezdi,indelible
i̇ki,two
akşamın,of the evening
alacalı,mottled
gri,gray
sokaklarını,its streets
kızıla,red
boyarken,while painting
sallan,swing
salıncak,swing
sallanıyorlardı,they were shaking
alnındaki,on the forehead
teri,sweat
kuruturken,while drying
susmayan,not silent
sessizlik,silence
başlamıştı,had started
zamanlar,times
sabahı,in the morning
karşılaşan,encountering
yabancı,foreign
yürek,heart
olmuştu,had happened
gördüklerini,what they see
sevdiklerini,their loved ones
sormaya,to ask
kalmadan,without staying
anlatıyordu,was telling
yürürlerken,while walking
kaldırımın,of the sidewalk
büyük,big
küçüktü,was small
solgun,pale
yüzey,surface
ayaklarına,to your feet
ayakkabılar,shoes
pantolon,trousers
rahat,comfortable
değildi,wasn't
ruhlar,souls
özgürdü,was free
yağmur,rain
damlaları,drops
düşmeye,to fall
damlalar,drops
saçlarını,your hair
ıslatırken,while wetting
gülmeye,to laugh
başta,first
vah!,wow!
seslendi,called out
damlada,in the drop
biraz,A little
serinliyor,it's cooling down
oturdular,they sat down
üstlerinde,above them
mont,coat
enselerinden,from the back of their necks
kokusu,the smell
termosu,thermos
açtı,opened
kapağı,cover
kapatırken,while closing
buhar,steam
yuvarlandı,rolled
yanlarına,next to them
sessiz,silent
miyavladı,meowed
kedinin,cat's
ağzına,in your mouth
parça,piece
yavaşça,slowly
mırlarken,while purring
çekildi,withdrew
etrafta,around
anlatılacak,will be told
uzakta,away
çırpıyor,flapping
tavşan,rabbit
çalıların,of the bushes
arasına,between
saklanıyordu,was hiding
gölet,pond
derindi,it was deep
dal,branch
yanmış,burnt
ağaçlarının,of trees
kuğular,swans
hümanist,humanist
tabloya,to the table
yakındı,was close
yaşanırdı,would have happened
böylesi,like this
anlar,moments
birinci,first
ikinci,second
üçüncü,third
atışı,shot
şiddetlendi,intensified
dördüncü,fourth
dirsek,elbow
dirseğe,to the elbow
ela’ya,to ela
ayrılma,separation
asla,never
bırakmam,I won't let go
taşlı,rocky
eğri,curve
büküktü,was bent
hayaller,dreams
doğru,TRUE
uzanıyordu,was lying down
paris’e,to paris
i̇stanbul’a,to istanbul
köy,bay
okuluna,to school
gideceklerdi,they were going to go
avukat,lawyer
doktor,doctor
yazar,writer
olacaklardı,they would be
i̇şleri,affairs
meslekleri,professions
olursa,if it happens
olsun,let it be
birbirlerini,each other
unutmadan,without forgetting
için,for  
yeterliydi,it was enough
çöküyordu,was collapsing
altın,gold
gemi,boat
ufka,to the horizon
atarken,while throwing
masala,masala
dönüşüyordu,was transforming
i̇çlerinden,among them
şiir,poem
olur,It is possible
bak,look
gözyaşın,your tears
açtırır,makes you open
kalbimde,in my heart
dizeler,strings
yağmurun,of the rain
melodisiydi,it was the melody
kayboldular,they disappeared
ağırlaştı,got heavier
dakikalar,minutes
saniyeye,to second
saatler,clocks
dakikaya,to the minute
benzedi,looked like
dakika,minute
güç,strength
kelimesi,the word
saklıydı,was hidden
hepsine,to all
yanıt,response
yıldızlardan,from the stars
omuzuna,on your shoulder
yaslanarak,leaning on
yıldızları,stars
izlediler,they watched
güzeldi,it was beautiful
tadındaydı,it tasted like
rüyası,dream
başlayan,starting
olacaktı,would be
ışığı,light
bulutların,of clouds
müteveffa,deceased
süzülürken,while floating
siluetinin,of your silhouette
haşmetli,majestic
silindir,cylinder
binaları,buildings
kaybolmuş,lost
gölgeydi,it was a shadow
panaromik,panoramic
manzaraya,to the view
nazır,overseer
tereddütsüz,without hesitation
ilerlerken,moving forward
daracık,skintight
sokakların,of the streets
sathi,surface
taşlarını,your pieces
basışlarında,when they press
melodi,melody
duyumsadılar,they felt
giydiği,wearing
ipek,silk
eşarp,scarf
rüzgârda,in the wind
dalgalanıyor,is fluctuating
esinti,breeze
yanaklarında,on your cheeks
mahcup,embarrassed
bırakıyordu,was leaving
deri,skin
ceketinin,of his jacket
fermuarını,zip up
indirirken,while downloading
hışırtılı,susurrant
sesi,sound
kulaklarında,in your ears
fısıltı,whisper
yankılandı,echoed
yeşilin,of green
kahverenginin,of brown
kaynaştığı,merged with
yapraklar,leaves
ayaklarının,your feet
narin,delicate
halı,state
serercesine,astonishingly
serildi,laid out
yollar,roads
iyice,thoroughly
virajlanıp,twisting and turning
dikleşince,when it gets erect
mütemadiyen,constantly
nefese,out of breath
kaldı,stayed
ritmik,rhythmic
çarpıntı,palpitation
atışlarını,your shots
senfoniye,to the symphony
dönüştürdü,transformed
dizlerinde,on your knees
hissettiği,what he feels
titremeyi,to shiver
önemsemeden,indifferently
“nedense,“for some reason
bugün,Today
kayboluyor”,"disappears"""
karşılık,opposite
“kelimeler,"""words"
duygular,feelings
kaybolur,disappears
kaldığında,when you stay
akla,to mind
gelirse,if it comes
kalır,remains
yürüyüş,walk
kulaklarına,to your ears
çalan,ringing
tramvayın,of the tram
tiz,shrill
çığırtgan,screamer
bakkaldan,from the grocery store
çığlık,scream
atonal,atonal
notaları,notes
oturmuş,seated
yaşlı,old
amcanın,your uncle's
tespih,rosary
tıkırtısı,click
renkse,if it is color
nasılsa,somehow
tat,taste
olmalıydı,should have been
birikintisinin,puddle
kenarında,on the edge
berraktı,it was clear
derinliği,depth
yanıltıcıydı,it was misleading
çömeldi,crouched down
parmağıyla,with his finger
suyu,juice
titreştirince,when you vibrate
halkalar,rings
bileklerine,to your wrists
dek,until
ulaştı,reached
yüzeydekinden,than on the surface
ziyade,rather
derine,deep into
bakmak,to look 
gerek”,"necessary"""
“hakikatin,“of truth
üstünkörü,cursory
nüanslarla,with nuances
halini,your state
görmek,to see
lâzım,required
köprü,bridge
kemerlerin,your arches
sızan,leaky
ışık,light
yarattığı,created by
kontrastla,with contrast
köprünün,of the bridge
altından,under
akan,flowing
çağıltılı,noisy
huzurlu,peaceful
sesini,your voice
adını,your name
söylediği,what he said
sükûnet,tranquility
kelimesini,the word
mektuplarda,in letters
şiirlerde,in poems
okuduğu,read
kalbinde,in your heart
köprüyü,the bridge
geçince,when it passes
girişine,to the entrance
geldiler,they came
duvarlardaki,on the walls
duvar,wall
kağıtları,papers
motifleriyle,with its motifs
bezenmişti,was decorated
dükkanların,of shops
vitrinlerinde,in their windows
paslanmış,rusty
kilitli,locked
kutular,boxes
cilalı,polished
ahşap,wood
panolar,boards
yazısıyla,with the text
asılmış,suspended
afişler,posters
bulunuyordu,was located
duraklama,pause
yaptı,did
“buralarda,“around here
akıyor,is flowing
ritminde,in the rhythm
deftere,notebook
birkaç,a few 
satır,line
karaladı,scribbled
sayfalar,pages
sararmıştı,had turned yellow
“hikâyemizi,“our story
kelimelerimizi,our words
buraya,here
yazalım”,"""let's write"""
etrafı,around
inceledi,viewed
duvarların,of the walls
köşelerinde,in the corners
örümcek,spider
ağları,networks
çöp,rubbish
parçası,part of
tavandan,from the ceiling
sarkan,hanging
pirinç,rice
lambalar…,lamps…
farklı,different
derken,while saying
plakçı,record store
dükkânı,shop
kapısında,at the door
yıpranmış,worn
levha,plate
altta,below
gösterişli,showy
yazıyla,in writing
indie,indie
caz,jazz
klasik,classical
attıklarında,when they throw
tahta,wood
merdivenlerin,the stairs
tıkırtısıyla,with the click
yukarıya,up
çıkan,coming out
curcuna,uproar
içindeki,in
nadide,rare
plaklarda,on records
gezinirken,while browsing
duraksadı,he hesitated
“hiç,"""none"
rastlamadığım,I haven't come across
yerdeyim,I'm on the ground
tanıdık,familiar
uzak,far
yanaşıp,approach
saygıyla,respectfully
frank,franc
sinatra,sinatra
seçti,chose
“sporadık”,“we were sporadic”
duyduğu,heard
nadir,rare
yerli,local
grup,group
plağına,to the record
uzandı,reached out
plakçalardaki,on the record player
tozlu,dusty
asil,royal
koku,smell
iğnenin,of the needle
hareketi,movement
amplifikatörün,of the amplifier
cızırtısı…,sizzle…
rüya,dream
çalarlarken,while playing
dükkânın,your shop
hoparlöründen,from its speaker
filmin,of the movie
sahnesi,scene
ruhlarını,their souls
sarstı,shook
gözlerini,your eyes
kapadı,closed
çocukluğunda,in your childhood
dinlediği,he listened to
ninnileri,lullabies
tez,thesis
avucunda,in the palm of your hand
ter,sweat
dükkândan,from the shop
merdivenle,by stairs
üst,top
kata,to the floor
tırmandılar,they climbed
teras,terrace
kırık,broken
dökük,dilapidated
kiremit,tile
çatıların,of the roofs
ıssız,unemployed
yine,again
saksıları,flower pots
diziliydi,was lined up
ufuk,horizon
çizgisinin,of the line
ardında,behind
sisle,with fog
buluştuğu,meet
lâlacım,my darling
mavisi,blue
gidip,go and go
“hayat,"""life"
karman,your karma
çorman,messy
bazense,sometimes
mükemmel,Perfect
fasıl,chapter
faslı,Moroccan
sahneleyecek,will stage
figürüz,no figure
gelirlerken,as they come
binlerce,thousands of
“ama”,"""But"""
“fakat”,"""but"""
“çoğu,"""most"
“nadiren”,"""rarely"""
“hiçbir,"""no"
“kesinlikle”,"""Definitely"""
bağlaç,conjunction
zarflar,envelopes
virgülden,comma
yoğun,busy
hüküm,provision
sürüyordu,was going on
terasta,on the terrace
atasözleri,proverbs
anlattılar,they told
“damlaya,“to the drop
olur”u,"""it happens"""
geçip,pass by
“sakla,“hide
samanı,straw
zamanı”ya,to the time
vardılar,they were there
replikleri,lines
“gönül,"""heart"
ferman,edict
dinlemez”,"""doesn't listen"""
“balık,"""fish"
baştan,from the beginning
kokar”,"""it smells"""
“i̇ki,"""two"
cambaz,acrobat
ipte,on the rope
oynar”,"""plays"""
özdeyişleri,maxims
ağızlarından,from their mouths
döktüler,they poured
kuşkusuz,no doubt
uyku,sleep
basmaya,to press
kollarını,your arms
beline,to your waist
doladı,went around
omzuna,on your shoulder
yaslandı,leaned on
boyunlarında,on their necks
huzursuzluk,unrest
kalplerinde,in their hearts
tarifsiz,indescribable
elemi,elemi
andıran,reminiscent
müjde,miracle
hissi,sentimental
yayılıyordu,was spreading
ertesi,next
ışıklarla,with lights
birlikte,together
rüyalar,dreams
perdede,on the screen
süzülerek,floating
bakıp,looking at
“yeni,"""new"
maceralar…,adventures…
önemlisi,importantly
birbirimize,to each other
yazdığımız,we wrote
eylül,September
yapraklarının,of leaves
hışırtısıyla,with its rustle
düşen,falling
ışınlarını,its rays
yansıtırken,while reflecting
çınar,plane
ağacının,of the tree
gölgesine,to the shadow
sığınmışlardı,they took shelter
heybetle,monumentally
dalların,your branches
süzülüyor,is floating
gelince,when it comes
mevsimleri,seasons
toplayan,collector
labirentten,from the maze
geçiyordu,was passing
elle,by hand
tutulur,is kept
yoktu,there wasn't
var,there is
bakış,view
manifesto,manifest
yüklenmişti,was loaded
mânâyla,in meaning
sağ,Right
masada,at the table
paslı,rusty
fincandan,from the cup
usulen,formally
demlenmiş,brewed
tadan,tasting
sıcaklık,heat
dilinde,in your language
yüreğinde,in your heart
müthiş,wonderful
oluşturdu,created
ağustos,August
ayının,bear
kurumaya,to dry
yüz,face
tutmuş,it worked
bulutlarıyla,with its clouds
ekim’in,of october
pastel,pastel
tonları,shades
birbiri,each other
eriyordu,was melting
nefesine,to your breath
karışan,interfering
kokusuna,to the smell
karşın,despite
teninde,on your skin
tutuş,grip
âdeta,almost
imtihan,exam
mukadderatın,your destiny
ipi,rope
kalbine,to your heart
dolanıyordu,was wandering around
sence,do you think
perende,tumble
atan,beating
midir,Is it
dudaklarını,your lips
kıpırdatarak,by wiggling
de…,also…
uçuyoruz,we are flying
çarpıyoruz,we multiply
i̇şbu,hereby
ihtimali,possibility of
barındırıyor,contains
sırada,next
bankın,of the bench
bohça,pack
darbeleriyle,with its blows
sürüklendi,drifted
bohçayı,the bundle
parçalamadan,without breaking it down
“mahrem”,"""private"""
damgası,stamp
uçurup,blow away
almıştı,had taken
kalplerindeki,in their hearts
havayı,the weather
olmadan,without
yalnızca,just
bakışla,with a look
paylaşabildiklerini,what they can share
biliyordu,knew
münzevi,solitary
heykeltraşın,the sculptor
yaptığı,what he did
mermer,marble
atın,throw away
önünde,in front
sabit,still
dursa,if it stops
şahlanan,rearing
atı,horse
betimliyor,depicts
sihirli,magic
kudretle,mightily
harekete,to action
hazır,ready
görünüyordu,it seemed
mermeri,marble
okşadı,caressed
islak,wet
ihtişamlı,sumptuous
olabilirmiş,could have been
mi,Is it
kesinlikle…,Definitely…
fevkâlâde,extraordinary
ihtişal,glamor
donuk,dull
hâlde,still
ihtimalleri,odds
sergiliyor,exhibiting
yürümeye,to walk
devam,continue
asfalt,asphalt
beton,concrete
plaklarla,with records
düzeltilmiş,corrected
çıkıntılı,protruding
hâle,halo
gelmişti,had come
metrik,metric
ölçüler,dimensions
kenara,aside
hareket,movement
manzara,view
oluşturuyordu,was forming
gözde,favorite
kafe,cafe
tabelasında,on the sign
silikon,silicon
harflerle,in letters
“nostalji,"""nostalgia"
kahvehanesi”,“coffeehouse”
“bir,"""One"
fincan,cup
alalım,let's get
mı,Is it
haydi…,come on…
bilge,wise
davranmayınca,when you don't behave
söyleyemezsin,you can't say
kafenin,of the cafe
loştu,it was dim
barista,barista
çelik,steel
cezvesinin,coffee pot
tıkırtısını,click it
duvarlarda,on the walls
sergilenen,on display
sepya,sepia
tonlu,toned
fotoğraflar,photos
dönemin,period
manzaralarını,the sights
ünlü,famous
yazarların,of writers
duetlerini,their duets
tren,train
istasyonunu,station
masaya,on the table
koyduğu,put
deftera,notebook
bakınca,looking at
not,notes
düşmüştü,had fallen
“görsel,"""visual"
hafıza,memory
evvel,before
aldığı,received
kağıda,on paper
“şu,"""This"
imkânsızlıkla,with impossibility
mümkünlük,possibility
virajdayız”,“We are at the bend.”
yazdı,wrote
eğip,bend over
okudu,studied
eline,to your hand
alıp,take away
cümleyi,sentence
virajı,the bend
bakmayacağız,we will not look
vakit,time
uzadı,got longer
kışa,short
dair,about
henüz,yet
gelmemişken,when you didn't come
tenhalık,wilds
huzurluydu,it was peaceful
diğer,other
atölyesi,workshop
cam,pine
kapı,door
içerdeki,inside
çarkların,of the wheels
hantallaşmış,clumsy
dönüşünü,your return
sobanın,of the stove
homurtusunu,his growl
taşıyordu,was carrying
kapıyı,the door
dürterek,prodding
girdi,entry
denemeye,to try
dersin,you say
bizi,we
simgeleyen,symbolizing
kadeh,glass
kireçli,chalky
yapalım,let's do
sevinçle,joyfully
atölyeyi,the workshop
gezdi,traveled
cetvel,ruler
tornavidanın,your screwdriver
kalıp,pattern
yığınının,of the pile
arkasında,behind
sahibiyle,with the owner
ilgili,relating to
çamura,into the mud
bastığında,when you press
maddeyle,with matter
karşılaştı,encountered
cılızlık,puniness
sağlam,durable
forma,uniform
dönüşecekti,would transform
akşam,evening
leylak,lilac
eken,planter
çiftçi,farmer
öykülerinin,of your stories
filizlendiğini,that it has sprouted
ellerinin,of your hands
arasındaki,between
malzeme,material
iman,faith
temkinli,leery
aşkın,over
birleşimiydi,It was a combination of
atölyeden,from the workshop
duvarlı,walled
sokağına,to the street
daldılar,they dived
harç,mortar
tanesi,grain
anıyı,the memory
emmişti,had sucked
kulağını,your ear
duvara,on the wall
yaslayıp,leaning on
dinledi,listened
“duvarlar,“walls
konuşur”,"speaks"""
provensali,provence
nakaratla,with chorus
elindeki,in your hand
defteri,notebook
kapattı,closed
cebine,into your pocket
“velhasıl”,“in short”
fazlasıdır,is more
ten,skin
gülümseme,smile
içten,sincere
bakış…,view…
bunlar,these
dâhilî,internal
oluşturur,creates
ayağını,your foot
gökyüzünde,in the sky
yıldız,star
i̇kisi,the two
yıldızı,star
tanıdıkları,acquaintances
dost,friend
karşılayıp,meet and greet
“seninle,"""With you"
cümle,sentence
beş,five
sisli,foggy
sabaha,in the morning
çevrelerinde,around them
beliren,appearing
çiğ,avalanche
tanelerinin,grains
kristal,crystal
mürekkep,ink
yapraklara,to the leaves
işlediğini,that you committed
gördüler,they saw
mahzunluk,sadness
havada,in the air
uzaktan,remotely
tramvay,tram
çekişin,your pull
yankısı,echo
sokaklarda,in the streets
dolaşıyordu,was wandering around
aklına,to your mind
mesuliyet,liability
insanın,human being
gaddarca,cruel
murassa,murassa
ağırlığını,its weight
zamanda,in time
zerafetin,your elegance
naifliğini,your naivety
taşırmış,used to carry
münferit,individual
düşünceyle,with thought
bakındı,looked around
cevher,ore
arayan,caller
madenci,miner
ayrıntıda,in detail
kıymet,value
arıyordu,was calling
kaldırım,sidewalk
taşlarının,of stones
filizlenmiş,sprouted
yabani,wild
çiğdemleri,crocuses
i̇nce,thin
gövdeleriyle,with their bodies
asaletli,noble
çiçekler,flowers
tahammül,tolerate
edilmez,not possible
acımasızlığında,in its cruelty
çiğnenemeyen,unchewable
dirayeti,acumen
eğilerek,leaning forward
tentürdiyot,tincture of iodine
toprağı,soil
yokladı,checked
mikrokozmosun,microcosm
enginliğini,the vastness
yolun,your way
fırından,from the oven
taze,fresh
simit,simit
bazlama,flatbread
kokuları,their smell
yükseliyordu,was rising
girdiklerinde,when they enter
raflarda,on the shelves
bol,plenty
çeşitli,various
kurabiye,cookie
dilim,slice
zeytin,olive
kaymak,cream
bal,honey
şişeleri,bottles
dizilmişti,was lined up
şakacı,playful
canı,villain
isteyebilir,may want
lokanta,restaurant
vitrininde,in the showcase
asılı,hanging
ilanları,postings
sanatsal,art
çarpıyordu,was crashing
leylâ,leyla
kısası,in short
elbiseli,in dress
ressam,artist
çingene,gypsy
usulü,procedure
romancılar,novelists
mütefekkir,thoughtful
şairler,poets
neşeli,cheerful
muhayyile,imagination
dünyasını,his world
çağırıyordu,was calling
takdirle,with appreciation
kanvasın,your canvas
ötesinde,beyond
beyin,brain
fırtınasıydı,it was a storm
dışarı,outside
çıktıklarında,when they come out
uzamış,elongated
lambaları,lamps
asaletle,nobly
yanıyordu,was burning
yıldızlar,stars
belirsiz,uncertain   
tecelli,transfiguration
içerisinde,in
titriyordu,was shaking
çekti,pulled
anın,of the moment
filizlenirmiş,sprouted
esnada,while
arkalarındaki,behind them
çeşme,fountain
kesintisiz,uninterrupted
tınısıyla,with its tone
buluyordu,was finding
kamıştan,reed
yapılmış,made
demirliyordu,was anchoring
yolculukların,your journeys
hatta,even
zamansızlığın,of timelessness
simgesiydi,was the symbol
suya,into the water
parmağını,your finger
değdirdi,touched
buz,ice
hissediyordu,was feeling
yarım,half
bırakılan,abandoned
hikâyenin,of the story
havası,weather
çökmüştü,had collapsed
dizlerine,to your knees
dokunarak,by touching
düşündü,thought
nihai,final
anlam,meaning
olarak,aspect
kavramakta,grasping
sorgulamada,in questioning
belirsizlikte,in uncertainty
saklıdır,reserved
kesinlikle,Definitely
ruhunda,in your soul
müessir,effective
yankı,echo
uyandıracak,will wake up
tecessüsle,by intrusion
keşfedilirmiş,was discovered
gecenin,of the night
geç,late
meydanda,in the square
düzenlenen,organized
tiyatrosuna,to the theater
rastladılar,they came across
afişlerde,on posters
mizansen,scene
monolog,monologue
piyes,play
improvisasyon,improvisation
aktörlerin,actors
nala,nala
koştuğu,running
sahnede,on stage
tragikomik,tragicomic
absürt,absurd
sahneler,scenes
peş,pursuit
peşe,one after another
çözülüyordu,was unraveling
kulak,ear
kesildi,cut off
gölgeleri,shadows
izledi,watched
sarılarak,hugging
