Arabic Sentence,English Translation
كان مجد الدين حريصا على أن يزوره مرة أو مرتين كل عام;,Majiduddin was eager to visit him once or twice a year;
وجد فيه الأب الذي حرم منه;,He found in it the father he was deprived of;
تمت محاكمتنا في حزيران أمام محكمة عسكرية;,We were tried in June by a military court;
عليك أن تغذي حبك حتى ينمو ويزدهر;,You have to feed your love until it grows and flourishes;
يجب أن نعطي المرأة حقوقها ونترك لها حريتها;,We must give women their rights and leave them their freedom;
قال إن هناك حاجة ملحة لآلاف من القوات الأمريكية;لصد التمرد هناك,He said there was an urgent need for thousands of American troops to repel the rebellion there.
هل كل واحدة تحب زوجها مثلك يا ست زهرة؟;,"Does everyone love her husband like you, six flowers?"
لو كنت تزوجت في فترة مبكرة من عمري لكان لدي أبناء;,"If I had married earlier in my life, I'd have kids."
تظهر المرأة على التليفزيون بجوار اسمها الحقيقي ومهنتها;,The woman shows up on TV next to her real name and career;
كان هناك فندق اسمه ويلورد مشهور وهو لا يزال موجودا ويمكن أن تزوره;,There was a hotel called Wilford famous and he's still there and you can visit him;
هل المرأة أكثر صبرا من الرجل؟;,Is a woman more patient than a man?
لماذا لا تتكلم؟ لماذا لا تحدثني عن ماضي حياتك؟;,Why don't you talk to me about your past?
أحب أن ألفت انتباهك إلى أن كلامك خارج عن موضوع;الدرس تماما,I'd like to draw your attention to the fact that you're completely off the subject of the lesson.
تضم هذه الوزارة ٢٤ وزيرا بينهم امرأة واحدة;,"The Ministry has 24 ministers, one of whom is a woman;"
لماذا يعاقبنا االله نحن المسلمين عندما نقترف الذنوب فى حين يتساهل مع الأمريكيين؟;,Why does God punish us Muslims when we commit sins while he tolerates Americans?
هو صديقي. من حقي أن أستقبله في أي وقت;,He's my friend.
أمضيت كثيرا من السنين في بلدان مثل المغرب وإيران وأفغانستان;,"I have spent many years in countries such as Morocco, Iran and Afghanistan;"
كذلك اطلع المجلس على التقارير الخاصة بالإصلاح البيئي;,The Council was also informed of the reports on environmental reform;
قمنا بهذا العمل منذ زمن طويل;,We did this work a long time ago;
في النهاية يجب أن يكون لديها بيت وأسرة وأطفال;,"In the end, she must have a home, family and children;"
المشكلة العراقية تحل من قبل العراقيين بدون تدخل;أطراف;أخرى;;,The Iraqi problem is solved by Iraqis without interference; other parties;
أوضحوا أن الارتفاعات في الاسعار جاءت كنتيجة حتمية لارتفاع أسعار الأعلاف والمياه وأجور النقل;,They explained that the price hikes were an inevitable consequence of rising feed and water prices and transportation wages;
دق قلبه بسرعة مع مجيء القطار;,Hit his heart quickly with the train coming in;
التاريخ الآن على مفترق الطرق فلا القديم قد انتهى تماما ولا الحديث قد بدأ بعد;,"History is now at the crossroads, neither the old is over, nor the talk has begun yet;"
قد خصصت الشركة ٦ ملايين جنيه للتوسعات والإحلال والتجديد بالشبكة ولاستقرار التغذية الكهربائية;,"The company has allocated £6 million to the expansion, replacement and renovation of the grid and to the stabilization of electricity feeds;"
هل يستطيع أن يحصى أوقاته السعيدة؟ كم عددها؟ عدة أيام؟ بضعة أشهر؟;,Can he count his happy times? How many? Several days? A few months?;
على الغرب عدم الإساءة إلى الشعوب بإطلاق تسميات كمحور الشر ولصق تهمة الإرهاب بالإسلام;,The West should not abuse peoples by naming them as the axis of evil and attaching the charge of terrorism to Islam;
أعزائي المشاهدين فاصل قصير ونعود لنواصل هذا الحوار. نعود إليكم. بعد لحظات نحن معكم. ابقوا معنا;,"Dear viewers, a short break and we return to continue this conversation. We return to you. In moments we are with you. Stay with us;"
المواطن العراقي يريد حياته ويريد أمه ويريد أطفاله ويريد أكله وخبزه وكهرباءه وصحته;,"Iraqi citizens want their lives, their mothers, their children, their food, bread, electricity and health;"
إن مكة حرمها االله، ولم يحرمها الناس;,"Mecca is forbidden by God, and not by people;"
أحست في تلك اللحظة بأنها غريبة ووحيدة وضائعة,I sensed at that moment that she was strange and lonely and lost.
هذه اللقاءات تسهم في خلق علاقات مباشرة بين الممثلين الذين سيعملون في السفارات المصرية;,These meetings contribute to the creation of direct relations between representatives who will work in Egyptian embassies;
فأنا يخيل لي اني لم اتغير جسمانيا منذ ربع قرن. أما هو، فلم يتغير فيه شيء كانه لم يفارقنا الا لأمسية واحدة,"I imagine I haven't changed physically in a quarter of a century, but he hasn't."
استقبلتنى غيمة كبيرة من دخان الغليون المعطر.. تلفت حولي لأرى إن كانت هناك نافذة;,I received a big cloud of scented pipe smoke... ripped around me to see if there was a window;
شرحت له نوع الاغاني التي في حيازتنا ولم أجد المصطلح الملائم له في الانكليزية;,I explained to him the kind of songs we had that I couldn't find the appropriate term for in English;
وجدته خير زوج يمكن أن تحلم به امرأة;,I found him the best husband a woman could dream of;
زوجي لم يقل لي لا آه ولا لأ قال لي إن شاء االله;,"My husband didn't say, ""No, no, no, no, no, no, no, no, no, no, no, no, no, no. My husband didn't say, ""Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no..... no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."
كثير من النازحين وضعوا مصيرهم بين أيدي عصابات المهربين لاجتياز خليج عدن وصولا إلى اليمن;,Many displaced persons have placed their fate in the hands of smugglers &apos; gangs to cross the Gulf of Aden as far as Yemen;
مشى رأفت مبتعدا وسمع خلفه ماكس يتحدث إلى شخص آخر,He walked away and heard Max talking to someone else.
لو استمر على هذه الحال فلن يجددوا عقده مهما يكن تعاطفهم;,"If he keeps on like this, they won't renew his contract, no matter how sympathetic they are;"
جلسنا منذ شهر لساعة كاملة كان يحدثني فيها عن;آماله;وأحلامه;,We sat a month ago for an hour when he was telling me about his hopes and dreams.
لا يوجد لدينا جمهور يعشق ناديه بل يعشقون فلان وعلان,We don't have an audience who loves his club. They love Flann and Alan.
هذه الأم لن تستطيع أن توفر الرعاية الكاملة لتوائمها الثلاث;,This mother will not be able to provide full care for her three twins;
كنت أحبك وأحبك ايه نعم أحبك لكن الفراق ما كان اختياري,"- I loved you and I loved you. - Yeah, I love you, but separation wasn't my choice."
لو تزوجا لكان الوضع أفضل للجميع;,"If they got married, it'd be better for everyone;"
بالكاد ظهرت على وجهها ابتسامة مكسوفة;,She barely showed up on her face with an eclipsed smile;
فكرت للحظة كي تنتقي كلماتها ثم قالت ببطء: هل أنتما أصحاب فقط؟,"I thought for a moment to pick her words, and then she slowly said, ""Are you guys just buddies?"""
تسري شهرتي بين أطفال الحارة، وربما في المدينة كلها,"My fame runs among hot kids, and maybe in the whole city."
لم أنم منذ الأمس، ولدي عملية غدا فى السابعة صباحا,"I haven't slept since yesterday, and I have surgery tomorrow at 7:00 a.m."
قُتل ١٣ عراقيا في هجمات في بغداد ومناطق أخرى من العراق;,13 Iraqis were killed in attacks in Baghdad and other areas of Iraq;
زوجي مجنون في هذه اللعبة ويصبح عصبيا جدا إذا ما;هزم فريقه,"My husband is crazy in this game, and he gets really nervous if he beats his team."
وصار يتصل بها بواسطة البطاقات المسبقة الدفع حتى لا يكتشف أهل خطيبته ما بينه وبينها,And he called her with prepaid cards so his fiancée's parents wouldn't find out what was between him and her.
حتى الأحلام الجميلة تصل إلى نهاياتها,Even beautiful dreams come to an end.
تقرير الطبيب الشرعي يؤكد أن الوفاة نتجت عن قطع شرايين رسغ اليد اليسرى,The coroner's report confirms that the death resulted from the cutting of the left wrist arteries.
هذا ما يميزنا عن باقي الأحزاب التي تتحدث عن السلام ولا تفعله,That's what separates us from the other parties that talk about peace and don't do it.
من هم أصحاب المصلحة في الفصل بين الدين والسياسة، وبين الدين والعلم؟;,Who are the stakeholders in separating religion and politics from religion and science?
سيشرب ويتطلع إلى الصور القديمة... ها هي أيام;السعادة;تتبدى;أمام;عينيه,He's gonna drink and look forward to the old pictures... here are the days of happiness... appearing in front of his eyes.
اعتبرته المؤسسة الحاكمة ممثلا لحركة حماس في الاخوان;المسلمين;الاردنيين,"The Governing Foundation considered him a Hamas representative in the brothers, Muslims, and Jordanians."
عاشت عمرها ملتزمة ولم تسمح لأحد فى الكلية بأن;يتجاوز;حدود;الزمالة,"She lived her age, and she didn't let anyone in college go beyond the limits of the fellowship."
خذ راحتك، سأنتظرك فى الاستقبال;,Make yourself comfortable. I'll wait for you at reception.
الصحف الأميركية ركزت على عدد من القضايا، طبعا كان من أهمها جنازة البابا,"American newspapers focused on a number of issues, of course, the most important of which was the Pope's funeral."
ألم أقل لك في المرة الماضية إني لا أريد أن أرى وجهك مرة أخرى؟;,Didn't I tell you last time I didn't want to see your face again?
يصعب علي أن أراه في هذه الحالة,It's hard for me to see him in this situation.
لم تظن قط أن يوما كهذا سيأتي، لكنه أتى أخيرا,"You never thought a day like this would come, but it finally came."
أهنئك لأنك تفوقت بالرغم من التعليم البائس الذي تلقيته,"Congratulations on getting over you, despite the miserable education you've received."
كان الرجل يقف في جانب المكان يراقب ما يدور حوله في دهشة,"The guy was standing on the side of the place, watching what was going on in a shock."
أتمنى أن أعيد حياتي مرة أخرى لأتخذ قرارات مختلفة,I wish I could return my life to make different decisions.
لا يزال هناك أفراد يأتون عبر هذه الحدود، والسوريون يستطيعون أن يمنعوهم,"There are still people coming across this border, and the Syrians can stop them."
ما علاقة الدين بالاقتصاد؟;,What does religion have to do with the economy?
رأت هيئة الأمم المتحدة أن التقسيم هو خير الحلول,The United Nations was of the view that division is the best solution.
لينينجراد هى المركز الصناعى والثقافى لروسيا ولن تسقط,"Leningrad is Russia's industrial and cultural center, and she won't fall."
أشكرك على الصور التي بعثت بها إلي، وإذا أردت رأيي فإني أقول لك إن بلدك جميل,"Thank you for the pictures you sent me, and if you want my opinion, I'm telling you, your country is beautiful."
نسبة كبيرة من الأميركيين يؤيدون قرارات الإدارة الحالية,A large percentage of Americans support the decisions of the current administration.
ما رأيك يا رأفت؟ هل نبدأ بالعشاء أم نشاهد اللوحة أولا؟,"What do you think, Raft? Shall we start dinner or watch the painting first?"
عملية السلام الإسرائيلية الفلسطينية لم تشهد أي تطور ملموس على أرض الواقع,The Israeli-Palestinian peace process has not seen any tangible development on the ground
وبما أن الانتخابات مقررة في يناير فإنه من الضروري تحقيق نوع من السلام لكي يتم الاقتراع في جميع أنحاء البلاد,"Since the elections are scheduled for January, it is necessary to achieve some kind of peace so that the vote can be held throughout the country."
علمت بخبر الافراج عنك اول امس وفرحتى لا يحدها حدود,"I knew about your release the first day of the day, and my life is borderless."
قدمت له هدية بسيطة: طبق مرصع بالصدف من خان الخليلي,I gave him a little gift: a plattered by chance from Khan al-Khalabi.
الشارع خال إلا من ثلاثة أشخاص;,The street is only three people;
أطلب منكم وضع موقع خاص للعربي الصغير على الإنترنت شبكة,I'm asking you to put a special web site for the little Arab on the Internet.
وحين حاولنا معرفة أصل هذه اللغة وخصائصها دهشنا حين اكتشفنا أن الغجر أنفسهم لا يعرفون ماهية هذه اللغة ولا أصلها,"And when we tried to figure out the origin and characteristics of this language, we were surprised to find out that the gypsy themselves didn't know what that language was or what it was."
أين يذهب بهذه الأرانب التى تعلقت داخل سرواله؟,Where does he go with those rabbits stuck in his pants?
تم تطويق قرابة نصف المليون جندي فرنسى خلف خط;ماجينو,Almost half a million French soldiers have been surrounded behind the Magino line.
نعم جرت حادثتا اعتداء على منزلي وتم تحطيم زجاج سيارتي من قبل مجهولين;,"Yeah, there were two attacks on my house, and my car glass was smashed by unknowns;"
بدا واضحا أنها صديقة للدكتور صلاح لأنه سألها عن أسرتها,"Apparently, she's a friend of Dr. Salah's because he asked her about her family."
شكله حلو وكلامه حلو وروحه حلوة,"He's sweet, he's sweet, he's sweet, he's sweet, he's sweet."
اللقاء هو الثالث بين الفريقين في المسابقة;هذا;الموسم,The meeting is the third between the two teams in the competition; this is the season.
لقد بقيت على شاطىء البحر شهرين;,I've been on the seashore for two months;
لا يرى أي فرق بين الأجناس المختلفة فالبشر كلهم فى عقيدته أبناء االله,"He sees no difference between the different races. Humans are all in his faith, the sons of God."
ظلت صامتة، تحاشت النظر إليه، مما ضاعف جزعه;,"She kept quiet, avoided looking at him, which doubled his alarm;"
ظللنا صامتين لفترة، كانت سحابة من الكآبة تظللنا,We were silent for a while. It was a cloud of depression.
لا تتدخل في شؤون غيرك;,Don't get involved in anyone else's business.
لا بد كما ذكرت أن نبدأ الحوار لن نحل هذه المشكلة إلا إذا ما جلسنا مع الدول الكبرى;,"As I said, we must start dialogue. We will not solve this problem unless we sit with the major Powers;"
هذه الأسئلة ليست ابدا في مستوى الطالب المتوسط أو الأهبل وإنما هي أسئلة يعجز المدرسون أنفسهم عن الإجابة عليها,"These questions are never at the middle student or vagina level, but they are questions that teachers themselves cannot answer."
يجب أن نجد حلا آخر، حلا أكثر تمشيا مع منطق الأشياء,"We have to find another solution, a solution that is more consistent with the logic of things."
ترك المدرسة مع طلاب صفه بعد الدرس الثالث، لعدم وجود;مدرس,"He left school with his class after class three, because there was no teacher."
هل يعيشان بعد الزواج فى القاهرة أم طنطا؟;,Do they live after marriage in Cairo or Tanta?
صار لي تقريبا ثلاث شهور متزوج فقط;,I only got about three months married;
ماذا سيقول لها عندما يطرق الباب ويوقظها فى الثانية صباحا؟,What's he gonna tell her when he knocks on the door and wakes her up at 2:00 in the morning?
الكثير من هذه الشركات موجودة في ولاية كاليفورنيا ولها مصالح كثيرة في هذه الولاية;,Many of these companies are in California and have many interests in this state;
تخونني يداي، رجلاي، كل عضو في جسدي المتعب يتآمر;ضدي;,"My hands, my legs, every member of my tired body conspires against me;"
لو كنت نمت طول عمرك على سرير واحد انت وإخواتك الخمسة لكنت فهمتني,"If you'd slept your whole life in one bed, you and your five brothers would have understood me."
ذلك لم يحدث قط على طول تاريخ القرية,That never happened along the history of the village.
القبول في التخصصات قد لا يرضي كل من تقدم بطلب للدراسة في الجامعات,Admission to specialties may not satisfy anyone applying for university studies.
هناك أحزاب أخرى مدنية بين الإخوان المسلمين وبين الحزب;الحاكم,There are other civil parties between the Muslim brothers and the party; the governor.
نسعى بالتأكيد إلى بناء شراكة بين القطاع العام والقطاع الخاص,We certainly seek to build a partnership between the public and private sectors.
ارتدى نظارته ذات الإطار الذهبى وأخرج مجموعة أوراق,He wore his glasses with his gold tire and pulled out a bunch of paperwork.
كعادته فى الأزمات سلم أمره الله,"As always, in crisis, God ordered him."
نعتز بالجهود المباركة التي تبذلونها جلالتكم من أجل الشعب العراقي الشقيق كي تزول عنه الغمة ويجتاز المحنة,We are proud of Your Majesty &apos; s blessed efforts for the brotherly Iraqi people to put an end to the cloud and to overcome the ordeal.
نعلن عن ارتياحنا للجهود المقدرة للامين العام لجامعة الدول العربية لتحقيق الوفاق الوطني في العراق,We express our satisfaction with the able efforts of the Secretary-General of the League of Arab States to achieve national reconciliation in Iraq.
كل مدرسة ثانوية خاصة لها كرافتة خاصة به,Every private high school has its own graffiti.
هل ضاع بعض من قيمنا الجميلة؟ أم ضاعت كلها أم أكثرها تأثيرا؟,"Are some of our beautiful values lost, or all of them lost, or the most influential?"
استخدم الألمان نوعا جديدا من القنابل فوق لندن,The Germans used a new type of bomb over London.
صار يقضي الليل فى الاتصال حتى يطلع الصبح فيأحذ حماما ويحتسى عدة أقداح من القهوة ويتوجه إلى العمل,"He spends the night calling until morning, taking a shower, drinking a few cups of coffee, and heading to work."
فى الأيام القادمة سيصل أكثر من عامل إلى نهاية الخدمة,"In the next few days, more than one worker will come to the end of duty."
هذا الخطر موجود من عام ١٩١٨ عندما حدث الوباء العالمي لأول مرة بين البشر,This threat exists from 1918 when the global epidemic first occurred among humans.
وفيما كان عمرو في طريقه إلى المدينة المنورة، التقى بصديقيه خالد بن الوليد وعثمان بن طلحة,"As Amr was on his way to the city of Manora, he met with his friends Khaled the son of Al-Walid and Osman the son of Talha."
إن عدد العراقيين المتواجدين في الأردن بلغ حاليا سبعمائة ألف عراقي وفي سوريا ستمائة ألف,"There are currently 700,000 Iraqis in Jordan and 600,000 in Syria."
المجلس الدولي للحبوب يتوقع انتاجا عالميا هذا العام من القمح يقدر بنحو ٥٩٣ مليون طن مقابل ٦١٨ مليون طن في العام الماضي;,"The International Grains Council expects global wheat production this year, estimated at 593 million tons, compared with 618 million tons last year;"
لا يزال الطريق طويلا فتركيا لن تنضم فعليا لعضوية الاتحاد الأوروبي قبل مرور ١٠ سنوات,There is still a long way to go. Turkey will not actually become a member of the European Union until 10 years ago.
نحن لدينا أناس متعلمون من أطباء ومثقفين وموسيقيين كذلك,"We have educated people from doctors, intellectuals, musicians as well."
كن في الدنيا كأنك غريب أو عابر سبيل,Be in the world like a stranger or a passerby.
يذكر التقرير السري بعض أقوال الخبراء أن كوريا الشمالية قد تستعد للقيام باختبارها الأول للسلاح النووي,The confidential report states some expert statements that North Korea may be preparing to conduct its first nuclear weapon test.
لا توجد مساواة مطلقة بين الرجل والمرأة، ولا يدل هذا على نقص,"There is no absolute equality between men and women, and this is not evidence of a shortage of women."
دخل الزوج متجرا ليشتري ثوبا لزوجته، فسأله البائع: أي مقاس وأي لون تريد؟,"The husband went into a store to buy a dress for his wife, and the seller asked him, ""What size and what color do you want?"""
أصبح المواطن لا يستطيع الحصول على مياه الشرب ولا على وقود السيارات,The citizen has no access to drinking water or car fuel.
بدا واضحا أنها لم تعد تخشى شيئا الآن,It seems clear she's not afraid of anything anymore.
يجب أن أقرأ هذا البحث لأنى سأشرحه غدا للطلبة,I have to read this paper because I'm going to explain it to the students tomorrow.
فتح مكتبا كبيرا فى الشارع الذي حمل اسم سعد زغلول فيها بعد,He opened a big office on the street where Sa'd Zaghluel was named yet.
غاندي ليس لديه جيش لكن لديه شعب كامل,"Gandhi doesn't have an army, but he has a whole people."
هل تشعر بالأمان أم لا؟ لا، طبعا لا نشعر بالأمان,Do you feel safe or not?
شغلت هذا المنصب لسنوات عديدة وأنا أعتبر نفسي تلميذة لها وسوف أسير على نفس الطريق للنهوض بالمرأة,"I've held this position for many years, and I consider myself a student of hers, and I'm going on the same path to the advancement of women."
استعاروا الذهب المصري ثم ذهبوا بدون عودة عندما خرجوا من مصر,They borrowed Egyptian gold and then went without return when they came out of Egypt.
تبغي الخلود لكن الحب يا حبيبي لا يعيش سوي عمر الورود,"You want immortality, but love, my love, lives only the age of roses."
يركع أمام الصليب الذي يحتفظ به فوق فراشه,He kneels in front of the cross that he keeps on his bed.
شيكاجو أكثر أمنا من نيويورك مثلا;,"Chicago is safer than New York, for example;"
سيكون بجواره حتى لو وقف العالم كله ضده,"He'll be right next to him, even if the whole world stands against him."
بعد دقائق قليلة اقترب منه بخطوات سريعة شخص بملابس بعيدة كل البعد عن الذوق,"A few minutes later, he was approached by fast steps... someone in clothes that were far from tasteful."
جلس أمام الكمبيوتر ووجد نفسه يمحو ما كتبه ويبدأ;صيغة;أخرى,He sat in front of the computer and found himself erasing what he had written and starting another;
استسلمت هي لنوم هادئ على حين ظل هو غارقا في خواطره,"She gave in to a quiet sleep, while he was drowned in his thoughts."
التقيت رئيس مجلس النواب وتبادلنا الرأي حول الوضع في لبنان,I met with the Speaker of the House of Representatives and we exchanged views on the situation in Lebanon.
سأكبر وأكون شاعرا متميزا ، ويحبني الناس وخاصة النساء كما تحب الشاعر الرومانسي نزار قباني,"I'm gonna grow up to be a special poet, and people like me, especially women, like romantic poet Nazir."
ما لبثت أن انهمرت الدموع من عينيها حينما تذكرت الدماء في فلسطين، والعراق، وأفغانستان، تهدر ظلما في حرب,"The tears broke out of her eyes when she remembered the blood in Palestine, Iraq and Afghanistan, was unjustly wasted in war."
اختلط العرب الاصليون بالاسبانيين الذين تعربوا واعتنقوا الاسلام واتخذوه دينا لهم جديدا,The original Arabs mixed up with the Spanish who expressed themselves and embraced Islam and took it as a new religion for them.
مصر مثل بلاد كثيرة فى العالم الثالث تعانى من مشاكل عميقة وكثيرة تراكمت على مدى قرون,"Egypt, like many countries in the Third World, has had deep problems, and many have accumulated for centuries."
يجب أن يجري هذا الحديث على أكثر من صعيد,This has to happen on more than one level.
نحن بحاجة لأناس يفهمون لا لأناس أغبياء، أليست فضيحة أبو غريب نتيجة لجهل هؤلاء الناس بالآخرين؟,"We need people who understand, not stupid people. Isn't the dad-weird scandal due to these people's ignorance of others?"
يعرف لماذا تركوا القرية إلى الإسكندرية، أي فضائح ارتكبوها قبل رحيلهم,He knows why they left the village to Alexandria. Any scandals they did before they left.
كيف تقيم أداء الاقتصاد الوطني خلال السنوات القليلة;الماضية؟;,How do you evaluate the performance of the national economy over the past few years?
نحن الآن نعلم أن هناك حوارات بين عدد كبير من;المجموعات;المسلحة,We now know that there are dialogues between a large number of armed groups.
يعمل حتى في اجازة الصيف;,He works even on summer break;
ينقسم الاقتصاديون المصريون حول مدى الحاجة إلى اتفاق جديد مع صندوق النقد الدولي;,Egyptian economists are divided on the need for a new agreement with IMF;
هل توافق دكتور محمود في الواقع على أن منظمة التحرير الفلسطينية هي الممثلة للفلسطينيين؟,Does Dr. Mahmoud really agree that the PLO is the representative of the Palestinians?
المدعي العام يعمل بحرية كاملة وباستقلال كامل بالنسبة لي;,The Attorney General works with complete freedom and independence for me;
أمسكت بيديها عبر المائدة، رفعتهما ببطء إلى شفتى وقبلتهما,"She held her hands across the table, slowly raised them to my lips and kissed them."
كان أبي رحمه االله رجلا مستنيرا يؤيد تعليم المرأة وعملها,My father was a mercy. God is an enlightened man who supports the woman's education and her work.
كان الخواجة ديمتري يعمل ليلا فى جراج البلدية هذا الأسبوع فهو يعمل بنظام الورديات,Dmitry was working nights in the municipal garage this week. He's working pink.
فى الأسبوع القادم سأطلب إليك فى الفصل تلخيص البحث والتعليق عليه,"Next week, I'll ask you in the classroom to summarize the research and comment on it."
قام الملك الحسين بدور رئيس في عقد مؤتمر مدريد للسلام من خلال توفير مظلة للفلسطينيين للتفاوض;حول;مستقبلهم,King Hussein played a key role in convening the Madrid Peace Conference by providing an umbrella for Palestinians to negotiate their future.
أردت أن أخرج كي لا أضايقه، فناداني,"I wanted to get out so I wouldn't bother him, my fans."
يبدأ الكاتب مقاله بالحديث عن أصدقائه ومعارفه من العرب الذين قال انهم نجحوا في التقريب بين المجتمعات العربية الإسلامية والأمريكيين,The writer begins his article by talking about his friends and acquaintances from the Arabs who said they succeeded in bringing the Arab Muslim and American communities closer together.
وصل سعر البرميل الى ٧٥ دولارا، فاضطررنا الى رفع اسعار المشتقات النفطية مرة اخرى,"The barrel price was $75, so we had to raise the price of oil derivatives again."
هل ستؤيد صدور قانون موحد لبناء المساجد والكنائس؟,Would you support a uniform law on the construction of mosques and churches?
ليس من اللياقة أن تتعامل مع صديقى بهذه الطريقة;,It's not appropriate for you to deal with my friend like this;
علمت البيان من مصادر مطلعة أن تحرير سعر وقود السيارات سيتم تنفيذه نهاية العام,I learned from informed sources that the release of the price of car fuel will be implemented by the end of the year.
كانت تحس بأن روحها مسحوبة وبأن كل ما يحدث;غير;حقيقى,She felt that her soul was withdrawn and that everything that happened wasn't true.
كانت خطوتها ثقيلة مترددة فى البداية، ثم انتظمت واكتسبت إيقاعا رصينا مفعما بالمعانى,"Her step was awfully heavy at first, and then she got organized and gained a rhythm full of suffering."
القوات البريطانية تطارد ميليشيات عدة في جنوب العراق مدعومة من قبل قوات الحرس;الثوري;الإيراني,British troops are chasing several militias in southern Iraq supported by the Iranian security forces;
كان المسلمون من بيشاور ولاهور يؤيدون محمد على جناح الذي يدعو لانفصال باكستان عن الهند,The Muslims from Peshawar and Lahore supported Muhammad on the wing calling for Pakistan's secession from India.
نعتقد أنه بحاجة إلى قانون أو تشريع يمنع التعذيب في السجون,We think he needs a law or legislation to prevent torture in prisons.
